"Key","Type","Value","Status"
"ALMEIDA2024","DOI","10.54033/cadpedv21n9-232","OK"
"BARBOSA2013","DOI","10.26849/bts.v39i2.349","OK"
"BARRON1998","DOI","10.1080/10508406.1998.9672056","OK"
"BARROWS1996","DOI","10.1002/tl.37219966804","OK"
"BLACK1998","DOI","10.1080/0969595980050102","OK"
"CALLEGARIO2025","DOI","10.28998/lte.2024.n.2.17872","OK"
"CANTANHEDE2026","DOI","10.47820/recima21.v7i4.7525","OK"
"GOMES2009","DOI","10.1590/S0100-55022009000300014","OK"
"GUSMAO2022","DOI","10.5902/1984644464040","OK"
"MACHADO2025","DOI","10.51473/rcmos.v2i2.25","OK"
"MACIEL2018","DOI","10.17921/2447-8733.2018v19n2p195-201","OK"
"MENEZES2020","DOI","10.5935/0034-7140.20200010","OK"
"MEZZARI2011","DOI","10.1590/S0100-55022011000100015","OK"
"MIRANDA2022","DOI","10.34117/bjdv8n4-353","OK"
"RIBEIRO2023","DOI","10.54021/seesv4n1-027","OK"
"RIBEIRO2025","DOI","10.58422/repesq.2025.e1751","OK"
"RIOS2026","DOI","10.22481/praxisedu.v22i53.17193","OK"
"SANTOS2019","DOI","10.18265/1517-03062015v1n44p113-121","OK"
"SANTOS2024","DOI","10.17921/2447-8733.2024v25n1p51-59","OK"
"SCHMIDT1983","DOI","10.1111/j.1365-2923.1983.tb01086.x","OK"
"SILVA2023","DOI","10.5585/45.2023.24026","OK"
"SOARES2013","DOI","10.1590/S0101-73302013000300013","OK"
"SOARES2021","DOI","10.4025/actascieduc.v44i1.52168","OK"
"SOUSA2025","DOI","10.36560/18320252057","OK"
"TEODORO2024","DOI","10.14244/reveduc.v18i1.5376","OK"
"DAHAL2026","DOI","10.3389/frma.2025.1669578","OK"
"PAULUS2023","DOI","10.1177/15344843221138381","OK"
"KABIR2025","DOI","10.1177/16094069251336810","OK"
"AUSUBEL2000","URL","https://www.worldcat.org/title/aquisicao-e-retencao-de-conhecimentos-uma-perspectiva-cognitiva/oclc/48731696","403-BLOCKED"
"BACICH2018","URL","https://www.amazon.com.br/Metodologias-Ativas-aprendizagem-profundamente/dp/8584291156","ERROR: HTTP 405"
"BARDIN2016","URL","https://search.worldcat.org/pt/title/319215399","403-BLOCKED"
"BONWELL1991","URL","https://eric.ed.gov/?id=ED336049","ERROR: HTTP "
"BRASIL2018","URL","https://www.gov.br/mec/pt-br/escola-em-tempo-integral/arquivos/BNCC_EI_EF_110518_versaofinal.pdf","403-BLOCKED"
"COSTA2020","URL","https://www.editoracontentus.com.br/","ERROR: HTTP "
"CRESWELL2018","URL","https://www.worldcat.org/title/projeto-de-pesquisa-metodos-qualitativo-quantitativo-e-misto/oclc/1085179213","403-BLOCKED"
"FREITAS2024","URL","https://periodicos.ideau.com.br/index.php/rei/article/view/170","ERROR: HTTP "
"LIBANEO2006","URL","https://www.worldcat.org/title/didatica/oclc/48964035","403-BLOCKED"
"MORAN2018","URL","https://www.amazon.com.br/Metodologias-Ativas-uma-Educacao-Inovadora/dp/8584291156","ERROR: HTTP 405"
"MUNHOZ2015","URL","https://www.worldcat.org/title/abp-aprendizagem-baseada-em-problemas-ferramenta-de-apoio-ao-docente-no-processo-de-ensino-e-aprendizagem/oclc/923552901","403-BLOCKED"
"OECD2019","URL","https://www.oecd.org/pisa/","403-BLOCKED"
"OLIVEIRA2023","URL","https://educacaopublica.cecierj.edu.br/artigos/23/8/o-uso-das-metodologias-ativas-de-aprendizagem-na-formacao-do-professor-das-universidades-para-a-pratica-nas-escolas","ERROR: HTTP "
"PAIVA2016","URL","https://sanare.emnuvens.com.br/sanare/article/view/1049","ERROR: HTTP "
"PORTER1980","URL","https://search.worldcat.org/title/610796358","ERROR: HTTP "
"SELWYN2022","URL","https://www.bloomsbury.com/uk/education-and-technology-9781350139183/","403-BLOCKED"
"THOMAS2000","URL","https://www.pblworks.org/sites/default/files/2019-01/A_Review_of_Research_on_Project_Based_Learning.pdf","ERROR: HTTP "
"VALENTE2018","URL","https://www.amazon.com.br/Metodologias-Ativas-Educacao-Inovadora/dp/8584291156","ERROR: HTTP 405"
"VEIGA2014","URL","https://www.worldcat.org/title/educacao-basica-no-brasil-conceitos-e-praticas/oclc/883601054","403-BLOCKED"
